카테고리,가게명,주소,정제된_주소,lat,lon
한식,통큰스시-본오본점,경기도 안산시 상록구 본오동 879-1 웅진빌딩 879-1 웅진빌딩 1층 107호(본오동.웅진빌딩),경기도 안산시 상록구 본오동 879-1,37.3007083,126.8630139
한식,써니꼬마김밥,경기도 안산시 상록구 본오동 819-8 819-8 102호,경기도 안산시 상록구 본오동 819-8,37.29518,126.8677128
한식,옥류관평양냉면,경기도 안산시 상록구 본오동 777-3 1층,경기도 안산시 상록구 본오동 777-3,37.2935459,126.8728175
한식,펭귄즉석떡복이,경기도 안산시 상록구 본오동 855-2 1층 일부호,경기도 안산시 상록구 본오동 855-2,37.2916583,126.8669555
한식,공주네분식,경기도 안산시 상록구 본오동 886-9 103호,경기도 안산시 상록구 본오동 886-9,37.2921574,126.8611589
한식,포휘엔,경기도 안산시 상록구 본오동 872-13 상록빌딩 1층105호,경기도 안산시 상록구 본오동 872-13,37.2983528,126.8634626
한식,광발이횟집,경기도 안산시 상록구 본오동 827-6 827-6 1층,경기도 안산시 상록구 본오동 827-6,37.2935744,126.8686849
한식,김강남매운떡볶이-안산본오점,경기도 안산시 상록구 본오동 822-4 103호,경기도 안산시 상록구 본오동 822-4,37.2948983,126.867507
한식,스텔라떡볶이-경기안산본오점,경기도 안산시 상록구 본오동 872-13 상록빌딩 1층 107호,경기도 안산시 상록구 본오동 872-13,37.2983528,126.8634626
한식,오승렬스시,경기도 안산시 상록구 본오동 877-5 우남센스빌 877-5 우남센스빌 1층 110호,경기도 안산시 상록구 본오동 877-5,37.3024149,126.861569
한식,학창시절즉석떡볶이,"경기도 안산시 상록구 본오동 880-3 광림빌딩 103호(본오동, 광림빌딩)",경기도 안산시 상록구 본오동 880-3,37.296237,126.86279
한식,하우스떡볶이-본오점,경기도 안산시 상록구 본오동 829-10 1층102호,경기도 안산시 상록구 본오동 829-10,37.2926263,126.8722838
한식,별난삼계탕,경기도 안산시 상록구 본오동 829 1층 102호,경기도 안산시 상록구 본오동 829,37.2930829,126.8713495
한식,코다리찜&부대찌개,경기도 안산시 상록구 본오동 773-7 1층,경기도 안산시 상록구 본오동 773-7,37.2941234,126.8740526
한식,남도한식-본오동,경기도 안산시 상록구 본오동 668 668,경기도 안산시 상록구 본오동 668,37.2880923,126.8650492
한식,불김삼불맛나는김치삼겹구이-본점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B108호,경기도 안산시 상록구 본오동 873-1,37.3014246,126.8643357
