CTY_CD,CTY_NM,TIME_CD,FORN_GB,M_10_CNT,M_15_CNT,M_20_CNT,M_25_CNT,M_30_CNT,M_35_CNT,M_40_CNT,M_45_CNT,M_50_CNT,M_55_CNT,M_60_CNT,M_65_CNT,M_70_CNT,F_10_CNT,F_15_CNT,F_20_CNT,F_25_CNT,F_30_CNT,F_35_CNT,F_40_CNT,F_45_CNT,F_50_CNT,F_55_CNT,F_60_CNT,F_65_CNT,F_70_CNT,ETL_YMD
41271,안산시 상록구,13,외국인,10.37,56.69,390.72,115.0,190.62,235.31,110.03,101.52,136.61,114.95,88.84,96.1,27.28,12.12,75.8,414.16,148.96,150.97,192.06,144.27,104.51,94.56,119.82,109.88,82.33,27.36,20220324
41273,안산시 단원구,12,내국인,1895.27,3371.69,4338.43,4712.83,4356.19,4327.77,5450.7,6023.32,6682.83,6421.04,5411.04,2761.97,1316.48,2070.49,2784.17,3532.75,4253.11,3688.28,3105.67,3639.82,4939.9,5664.2,4987.84,3896.44,2084.93,1062.39,20220323
41271,안산시 상록구,15,내국인,1213.97,1849.6,2859.54,3325.47,2400.59,2209.74,2529.96,2975.26,3582.65,3807.81,3178.38,1541.55,716.66,1198.71,1624.33,2424.79,2318.76,1944.47,1850.19,2146.9,2835.64,3393.78,2801.47,2257.08,1255.62,709.02,20220319
41271,안산시 상록구,21,내국인,1013.33,2278.61,3504.24,3483.23,2444.07,2189.11,2472.5,2827.42,3254.8,3122.73,2446.81,1087.64,563.21,1027.25,1862.25,2670.7,2587.25,1876.93,1712.36,2007.85,2605.96,2936.58,2341.78,1822.17,890.28,491.35,20220318
41271,안산시 상록구,2,내국인,444.29,798.1,1287.15,1537.48,1159.65,1014.59,1229.81,1309.47,1484.91,1385.61,1206.86,542.71,315.67,447.61,644.89,1055.95,1176.04,825.24,823.31,998.56,1175.36,1459.42,1229.17,1004.35,501.6,322.59,20220318
41271,안산시 상록구,10,외국인,8.56,42.9,299.91,106.43,180.25,210.85,125.17,92.64,99.88,53.36,58.29,36.54,13.66,17.16,49.73,258.35,147.08,145.76,154.12,120.04,78.67,89.08,96.35,73.56,47.94,17.04,20220307
41271,안산시 상록구,22,내국인,809.11,1976.58,3007.12,3026.1,1934.2,1766.26,2057.87,2350.87,2567.06,2597.91,1941.39,931.57,509.33,897.1,1668.0,2281.55,2138.66,1395.14,1445.43,1779.42,2177.78,2393.26,2079.31,1538.15,741.98,494.55,20220321
41271,안산시 상록구,17,외국인,8.58,51.51,411.51,137.37,164.9,138.98,133.53,113.24,72.24,78.83,49.92,34.43,12.13,8.7,72.32,309.96,128.33,174.89,107.87,112.89,63.22,66.99,66.67,68.44,30.96,11.95,20220303
41273,안산시 단원구,1,외국인,1.7,14.03,197.86,396.39,506.5,536.22,345.4,233.2,246.01,182.04,128.52,51.59,25.7,1.72,5.15,114.17,170.04,250.57,326.9,220.68,149.79,173.42,152.45,121.75,68.53,17.01,20220326
41271,안산시 상록구,15,내국인,2313.08,4234.14,3270.04,2950.16,2327.86,2066.98,2362.64,2964.49,3508.46,3484.51,3219.99,1543.81,884.34,2338.46,3529.71,2645.25,2137.82,1976.44,2078.7,2418.42,3137.49,3700.72,3389.57,2821.51,1539.41,998.13,20220318
41273,안산시 단원구,2,외국인,3.41,13.69,149.27,325.97,540.52,467.39,274.91,217.45,222.2,135.23,100.41,69.42,16.19,0.0,8.5,111.83,136.53,258.9,255.31,204.71,172.62,179.46,120.53,96.65,39.31,20.85,20220322
41271,안산시 상록구,3,내국인,607.21,799.91,1672.73,2109.7,1523.79,1225.41,1388.36,1480.94,1825.47,1749.61,1445.24,747.57,360.73,608.67,722.68,1296.11,1583.16,1125.41,975.31,1232.04,1357.99,1525.78,1321.76,1109.22,549.65,325.5,20220313
41273,안산시 단원구,19,외국인,0.0,29.46,313.35,623.53,894.93,724.53,523.68,403.7,366.46,270.86,179.63,73.7,16.12,12.0,36.04,220.17,283.25,454.47,477.0,424.16,246.57,306.84,240.23,155.14,78.94,25.12,20220301
41273,안산시 단원구,4,외국인,3.38,1.7,127.5,325.66,455.6,404.72,240.28,200.17,220.87,163.43,92.67,45.88,13.95,1.69,5.09,114.88,110.31,209.21,217.01,156.64,118.88,150.22,149.68,73.95,40.39,17.98,20220301
41271,안산시 상록구,8,내국인,2080.85,3250.7,2024.84,2081.28,1736.83,1596.13,1844.25,2274.03,2506.51,2518.24,2420.97,1260.12,604.95,2228.49,2680.58,1597.5,1738.14,1456.96,1556.77,2023.62,2335.4,2659.21,2520.87,1948.96,983.05,621.53,20220328
41271,안산시 상록구,4,외국인,3.47,13.67,97.77,54.97,100.97,73.75,56.46,44.48,32.33,29.29,32.5,11.89,0.0,5.15,15.47,99.14,59.9,54.88,73.38,61.71,44.61,64.91,27.44,32.49,30.56,8.55,20220317
41271,안산시 상록구,22,외국인,0.0,30.85,265.64,111.58,135.25,143.61,126.91,64.97,71.55,58.06,37.44,18.84,5.13,5.25,56.74,236.4,109.26,107.62,126.63,71.68,56.3,78.83,54.46,46.03,30.71,8.55,20220301
41273,안산시 단원구,1,내국인,495.75,872.86,1662.51,1885.04,1402.14,1248.78,1328.5,1402.05,1423.92,1419.44,1210.8,672.64,301.13,357.86,649.33,1247.87,1455.56,1148.63,781.81,864.82,1239.41,1307.18,1185.43,899.76,547.52,336.65,20220314
41273,안산시 단원구,5,외국인,3.38,16.18,164.78,384.13,512.2,451.11,324.54,270.9,301.39,255.71,169.83,75.15,23.51,3.38,7.71,99.35,131.93,231.05,322.54,228.94,162.35,205.95,135.47,127.79,74.66,18.75,20220330
41271,안산시 상록구,7,내국인,654.5,836.23,1756.26,2180.05,1631.93,1405.26,1536.56,1771.83,2279.39,2149.06,1807.52,980.99,395.2,674.38,792.94,1392.87,1628.31,1159.05,1179.65,1384.75,1667.8,1843.64,1630.6,1520.25,709.68,426.44,20220313
41271,안산시 상록구,14,내국인,1267.99,1850.37,2955.96,3581.2,2490.28,2404.99,2624.51,3026.54,4010.01,4170.28,3257.83,1630.62,896.09,1183.84,1606.85,2443.16,2678.4,1977.93,2026.94,2405.18,2882.1,3656.58,3219.19,2568.05,1442.23,805.67,20220320
41271,안산시 상록구,15,외국인,12.08,53.1,411.09,136.88,187.26,201.17,131.95,118.41,103.69,89.17,72.14,82.43,34.12,13.76,60.07,453.27,174.87,171.39,195.53,150.86,100.98,83.72,82.33,111.25,75.14,11.91,20220325
41271,안산시 상록구,17,내국인,1903.16,3044.77,3524.81,3220.82,2286.37,2246.85,2371.23,2930.95,3752.59,3753.96,3212.58,1557.38,775.34,1973.61,2647.91,2807.6,2208.44,1656.44,1965.84,2235.0,2989.82,3707.29,3220.11,2560.78,1256.82,806.83,20220330
41273,안산시 단원구,1,내국인,566.86,949.05,1951.76,2429.8,1710.67,1422.19,1491.34,1607.88,1491.91,1551.7,1293.25,664.02,341.79,537.56,722.23,1516.61,1744.92,1291.2,945.06,1163.94,1358.27,1357.72,1179.89,1025.28,489.46,389.69,20220301
41271,안산시 상록구,12,내국인,2150.95,5202.85,3835.88,3111.2,2261.82,2260.87,2401.19,3191.6,3606.27,3520.28,3243.6,1570.21,1008.74,2327.65,4347.98,2923.79,2365.02,1981.37,2196.84,2612.24,3134.91,3840.05,3611.78,2798.54,1459.33,911.75,20220307
41271,안산시 상록구,10,내국인,2359.52,4303.35,3220.14,2735.33,2031.62,1809.83,2061.8,2842.85,3314.89,3330.99,2898.59,1550.01,944.98,2247.77,3595.45,2398.71,2047.24,1670.07,1913.3,2393.17,2949.68,3390.59,3073.02,2460.57,1444.15,738.42,20220322
41271,안산시 상록구,9,외국인,10.3,22.34,253.55,82.28,163.26,164.46,84.39,84.1,122.44,85.9,78.76,73.91,18.74,15.45,46.28,263.48,106.41,123.08,166.33,101.37,70.23,85.52,72.26,109.94,71.77,20.52,20220324
41273,안산시 단원구,3,내국인,446.44,903.67,1400.61,1711.35,1217.21,1039.13,1160.49,1309.63,1321.0,1244.23,1181.08,624.39,282.41,435.46,582.72,1209.07,1296.41,981.9,730.76,832.55,1082.27,1180.43,1154.15,964.06,437.6,369.39,20220302
41271,안산시 상록구,10,내국인,2105.89,4573.84,3044.77,2705.15,1977.85,1803.57,2091.03,2731.3,3098.39,3161.25,2883.64,1489.33,903.24,2344.56,3746.91,2441.66,1943.21,1621.19,1865.3,2302.52,2836.66,3292.37,3152.93,2520.21,1354.64,815.47,20220307
41273,안산시 단원구,6,외국인,3.38,10.22,147.62,408.25,534.17,519.9,311.23,281.11,291.16,272.33,140.07,85.89,16.08,1.69,15.39,84.96,130.51,252.51,240.63,197.71,173.39,175.97,174.33,129.84,52.46,19.95,20220301
41271,안산시 상록구,5,외국인,3.47,17.13,102.8,58.28,126.35,140.62,83.85,71.79,68.32,46.11,63.29,51.17,18.76,1.7,15.46,126.52,88.89,97.31,88.94,56.7,61.46,68.51,36.02,68.31,51.13,3.39,20220328
41273,안산시 단원구,3,내국인,463.97,709.28,1363.42,1633.85,1387.81,1136.34,1329.4,1430.54,1507.45,1478.19,1308.01,622.64,338.19,464.4,581.04,1076.96,1222.39,991.74,787.11,1020.8,1117.79,1237.78,1149.15,926.23,558.1,370.08,20220308
41271,안산시 상록구,5,내국인,537.26,721.98,1376.7,1685.35,1161.92,1144.63,1367.63,1514.2,1713.75,1669.82,1526.89,767.77,414.27,556.07,705.79,1090.52,1206.19,744.62,859.66,974.45,1244.57,1562.38,1419.19,1177.79,586.83,388.09,20220330
41271,안산시 상록구,12,외국인,1.73,20.53,246.49,113.2,195.59,228.47,145.35,153.99,117.86,76.85,81.05,61.65,8.42,5.14,15.43,239.79,145.09,126.63,150.42,105.99,109.5,102.86,104.15,71.79,51.05,18.82,20220313
41273,안산시 단원구,19,외국인,2.14,19.26,373.2,932.3,1085.91,1007.78,626.78,519.54,471.62,360.12,208.21,106.58,24.68,8.47,18.73,222.84,297.01,585.88,582.81,522.15,398.4,374.36,288.04,231.35,117.16,28.06,20220320
41271,안산시 상록구,20,내국인,1236.19,2088.69,3213.83,3282.94,2309.71,2184.89,2190.29,2631.72,3243.13,3239.31,2382.99,1121.78,550.79,1123.49,1825.69,2711.27,2323.37,1694.53,1538.03,1983.33,2468.9,2888.23,2418.92,1803.31,826.37,446.55,20220303
41273,안산시 단원구,16,외국인,12.72,12.81,295.69,703.68,910.32,841.64,610.77,438.58,439.94,477.64,260.43,142.82,16.56,18.74,15.76,207.12,282.56,600.14,558.96,539.5,361.03,419.73,282.21,223.93,131.0,39.35,20220307
41273,안산시 단원구,23,외국인,1.69,8.54,235.61,496.1,582.61,614.95,360.09,278.84,318.88,243.02,147.78,85.87,22.28,8.45,19.63,110.97,205.4,334.6,356.77,265.06,192.9,258.77,192.81,115.73,85.82,25.12,20220327
41273,안산시 단원구,1,외국인,0.0,15.72,256.98,596.59,665.36,488.47,292.45,279.64,251.89,207.73,101.04,42.5,11.85,3.37,8.44,112.18,159.86,265.37,292.21,269.34,164.84,178.86,179.41,97.32,56.05,20.39,20220306
41273,안산시 단원구,19,내국인,1781.26,3118.34,3756.82,4379.01,3431.33,2880.15,3385.58,3624.87,4221.43,3883.85,3183.8,1498.78,705.55,1710.56,2822.7,3403.75,3691.73,2566.61,1990.5,2370.14,3238.05,3337.33,2786.88,2174.6,1030.95,580.62,20220314
41271,안산시 상록구,17,외국인,10.33,65.09,479.84,147.86,194.0,192.54,159.63,118.19,99.5,94.37,71.9,65.14,23.83,15.41,85.61,486.09,166.14,188.29,186.81,159.44,90.78,121.3,75.21,130.1,80.64,25.62,20220329
41273,안산시 단원구,20,내국인,1659.18,3343.3,4304.32,4530.32,3564.09,3182.62,3510.32,3639.92,4121.74,4028.93,3121.44,1408.96,694.5,1323.67,2852.8,3519.83,3970.25,2800.46,2034.55,2309.83,3227.07,3521.19,2924.67,2073.53,1141.22,541.34,20220329
41271,안산시 상록구,15,내국인,2233.39,4278.36,3495.11,3141.08,2268.25,2087.03,2430.68,2966.05,3509.58,3647.31,3210.69,1605.68,896.5,2409.66,3810.47,2603.18,2248.01,1683.52,2044.54,2502.79,3214.77,4092.39,3654.25,2758.57,1591.5,988.76,20220321
41273,안산시 단원구,14,외국인,13.56,18.39,291.91,666.51,948.16,928.13,606.17,461.47,493.43,473.16,286.86,128.07,43.18,10.19,13.24,205.51,366.91,626.7,630.99,571.54,399.57,433.48,310.36,260.87,175.08,57.19,20220324
41271,안산시 상록구,13,내국인,1265.76,1836.69,2825.58,3323.02,2570.2,2158.11,2446.45,2962.21,3733.34,3854.91,3367.5,1605.39,928.98,1267.37,1576.63,2345.08,2459.87,1830.92,1924.47,2438.7,2909.17,3379.54,3096.51,2578.81,1387.64,823.92,20220326
41273,안산시 단원구,7,외국인,1.69,8.97,229.9,554.4,763.11,675.88,489.41,394.76,410.47,434.36,246.36,108.31,22.23,3.51,9.37,125.46,211.06,349.55,422.37,355.17,280.18,346.19,213.39,158.17,91.71,15.34,20220316
41271,안산시 상록구,1,외국인,3.47,11.99,102.98,55.06,99.07,77.19,53.06,51.16,27.19,36.23,29.0,11.85,1.69,1.68,17.18,99.25,58.14,54.92,80.26,59.92,47.87,56.49,29.1,32.46,27.1,6.79,20220317
41273,안산시 단원구,5,내국인,441.51,737.38,1387.55,1755.16,1552.31,1269.77,1519.8,1714.71,1825.1,1858.52,1560.78,845.66,415.85,469.33,543.68,1100.01,1281.33,1057.64,762.92,879.1,1156.12,1402.92,1293.06,1199.41,613.16,434.98,20220310
41273,안산시 단원구,22,내국인,987.5,2383.57,3450.62,3610.39,2703.02,2479.74,2625.68,2819.9,3023.48,2806.83,2350.07,1208.73,560.09,861.99,1965.35,2892.2,2948.13,2011.72,1536.91,1806.49,2323.53,2402.55,2176.7,1619.01,863.04,483.12,20220329
41273,안산시 단원구,21,내국인,1251.83,3073.55,3947.3,3919.41,2985.17,2738.09,2921.84,3084.46,3439.52,3213.28,2497.17,1220.59,591.9,965.0,2497.81,3377.38,3397.48,2401.9,1637.8,1967.81,2621.34,2837.63,2480.86,1696.24,927.02,553.03,20220324
41273,안산시 단원구,5,외국인,3.38,10.62,128.52,288.65,431.12,425.66,228.34,236.23,209.72,252.3,109.06,63.37,11.86,3.38,6.81,84.97,113.47,212.73,205.53,177.21,163.71,170.06,132.26,93.28,38.37,25.23,20220302
41273,안산시 단원구,19,내국인,1226.96,2576.01,4065.64,4457.39,3223.3,2547.7,2691.72,2969.43,3284.88,3231.52,2904.97,1433.64,625.46,932.86,2202.81,3381.34,3498.57,2513.55,1836.41,2122.02,2684.48,2977.36,2718.09,2048.41,1050.47,562.81,20220313
