단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일,정제된_주소,lat,lon
41271300444479,4127110200105340022,경기도 안산상록구 이동 534-22,(534-22),,,3,1,17,2004-10-25,경기도 안산상록구 이동 534-22,37.3120527,126.860065
41271312168563,4127110200105340023,경기도 안산상록구 이동 534-23,(534-23),,,3,1,17,2002-03-27,경기도 안산상록구 이동 534-23,37.3121131,126.8598694
41271312168564,4127110200105340025,경기도 안산상록구 이동 534-25,(534-25),,,3,1,16,2003-05-02,경기도 안산상록구 이동 534-25,37.3122334,126.8594852
41271320323335,4127110200105350000,경기도 안산상록구 이동 535,크리스탈타운,크리스탈타운,크리스탈타운,3,1,8,2015-07-31,경기도 안산상록구 이동 535,37.3120462,126.8593663
41271320172459,4127110200105350001,경기도 안산상록구 이동 535-1,비발디파크,비발디 파크,비발디 파크,3,1,8,2013-03-04,경기도 안산상록구 이동 535-1,37.3120034,126.859513
41271312168565,4127110200105350002,경기도 안산상록구 이동 535-2,한솔빌리지,,,3,1,8,2002-11-30,경기도 안산상록구 이동 535-2,37.3119578,126.8596606
41271320444135,4127110200105350003,경기도 안산상록구 이동 535-3,(535-3),이동 535-3 공동주택,이동 535-3 공동주택,3,1,10,2023-04-28,경기도 안산상록구 이동 535-3,37.3119122,126.8598082
41271320442497,4127110200105350004,경기도 안산상록구 이동 535-4,마운틴,마운틴,마운틴,3,1,8,2023-02-07,경기도 안산상록구 이동 535-4,37.3118667,126.8599559
41271312168568,4127110200105350005,경기도 안산상록구 이동 535-5,쎈스빌,쎈스빌,쎈스빌,3,1,7,2003-07-16,경기도 안산상록구 이동 535-5,37.311846,126.8601537
41271312168569,4127110200105350009,경기도 안산상록구 이동 535-9,베스트빌2,,,3,1,12,2002-10-14,경기도 안산상록구 이동 535-9,37.3117526,126.8597309
41271320316394,4127110200105350010,경기도 안산상록구 이동 535-10,예진아트빌,예진아트빌,예진아트빌,3,1,8,2015-04-22,경기도 안산상록구 이동 535-10,37.3117983,126.8595834
41271320100401,4127110200105350012,경기도 안산상록구 이동 535-12,태백빌,,,3,1,8,2008-09-19,경기도 안산상록구 이동 535-12,37.3118907,126.8592905
41271300444480,4127110200105360002,경기도 안산상록구 이동 536-2,(536-2),,,3,1,15,2004-11-26,경기도 안산상록구 이동 536-2,37.3115797,126.8594465
41271312168570,4127110200105360003,경기도 안산상록구 이동 536-3,호수빌그린타운,호수빌그린타운,호수빌그린타운,3,1,8,2004-09-01,경기도 안산상록구 이동 536-3,37.3115374,126.8595833
41271312168571,4127110200105360009,경기도 안산상록구 이동 536-9,(536-9),,,3,1,17,2004-05-07,경기도 안산상록구 이동 536-9,37.3114623,126.8592324
41271312168572,4127110200105370000,경기도 안산상록구 이동 537,(537-0),,,3,1,19,2002-04-15,경기도 안산상록구 이동 537,37.3113017,126.8590267
41271320166957,4127110200105370004,경기도 안산상록구 이동 537-4,(537-4),,,3,1,17,2012-11-28,경기도 안산상록구 이동 537-4,37.3111002,126.8597141
41271320090509,4127110200105370007,경기도 안산상록구 이동 537-7,갤러리하우스,갤러리하우스,갤러리하우스,3,1,6,2008-03-17,경기도 안산상록구 이동 537-7,37.3113246,126.8600149
41271320180264,4127110200105370017,경기도 안산상록구 이동 537-17,스마트빌,,,3,1,14,2013-06-25,경기도 안산상록구 이동 537-17,37.3109924,126.8594845
41271312168574,4127110200105380001,경기도 안산상록구 이동 538-1,(538-1),,,3,1,14,2002-06-10,경기도 안산상록구 이동 538-1,37.3111325,126.8609467
41271312168575,4127110200105380002,경기도 안산상록구 이동 538-2,금호베스트빌,,,3,1,8,2002-08-29,경기도 안산상록구 이동 538-2,37.3110215,126.8608275
41271312168576,4127110200105380003,경기도 안산상록구 이동 538-3,이화빌라,,,3,1,18,2002-03-26,경기도 안산상록구 이동 538-3,37.3109045,126.8607072
41271312168577,4127110200105380004,경기도 안산상록구 이동 538-4,(538-4),,,3,1,17,2000-12-04,경기도 안산상록구 이동 538-4,37.3107875,126.8605869
41271312168579,4127110200105390007,경기도 안산상록구 이동 539-7,(539-7),,,3,1,17,2002-10-29,경기도 안산상록구 이동 539-7,37.3114376,126.861277
41271320354989,4127110200105390017,경기도 안산상록구 이동 539-17,라온제나,라온제나,라온제나,3,1,8,2017-07-13,경기도 안산상록구 이동 539-17,37.31167,126.8618783
41271312168580,4127110200105390018,경기도 안산상록구 이동 539-18,(539-18),,,3,1,10,2001-12-15,경기도 안산상록구 이동 539-18,37.3116073,126.8620373
41271312168581,4127110200105390019,경기도 안산상록구 이동 539-19,(539-19),,,3,1,14,2003-04-02,경기도 안산상록구 이동 539-19,37.3115255,126.8621813
41271320341463,4127110200105400002,경기도 안산상록구 이동 540-2,스타빌,스타빌,,3,1,11,2016-08-30,경기도 안산상록구 이동 540-2,37.3111453,126.8615605
41271320447451,4127110200105400004,경기도 안산상록구 이동 540-4,(540-4),,,3,1,6,2023-08-23,경기도 안산상록구 이동 540-4,37.3109506,126.8613625
