단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일
41271312169758,4127110400109620011,경기도 안산상록구 본오동 962-11,(962-11),,,3,1,11,2001-08-13
41271320061557,4127110400109630000,경기도 안산상록구 본오동 963,경동빌,,,3,1,21,2007-01-10
41271312169759,4127110400109630004,경기도 안산상록구 본오동 963-4,(963-4),,,3,1,8,2002-10-28
41271320430866,4127110400109630007,경기도 안산상록구 본오동 963-7,(963-7),,,3,1,8,2021-12-17
41271312169760,4127110400109630009,경기도 안산상록구 본오동 963-9,(963-9),,,3,1,8,2001-10-26
41271320330096,4127110400109640003,경기도 안산상록구 본오동 964-3,크리스탈타운(964-3),크리스탈타운,크리스탈타운,3,1,7,2015-12-10
41271312169761,4127110400109650000,경기도 안산상록구 본오동 965,명성화이트빌라,,,3,1,8,2002-01-16
41271312169762,4127110400109650001,경기도 안산상록구 본오동 965-1,우광아트빌,,,3,1,8,2003-02-12
41271320056192,4127110400109650002,경기도 안산상록구 본오동 965-2,행복빌라,,,3,1,17,2006-11-08
41271320394191,4127110400109650003,경기도 안산상록구 본오동 965-3,드림펠리스,드림펠리스,드림펠리스,3,1,8,2019-10-08
41271320428444,4127110400109660000,경기도 안산상록구 본오동 966,(966-0),,,3,1,8,2021-08-30
41271320181373,4127110400109660004,경기도 안산상록구 본오동 966-4,(966-4),,,3,1,21,2013-07-22
41271312169763,4127110400109660012,경기도 안산상록구 본오동 966-12,(966-12),,,3,1,12,1996-06-28
41271312169764,4127110400109660013,경기도 안산상록구 본오동 966-13,(966-13),,,3,1,8,2002-12-21
41271320373217,4127110400109660014,경기도 안산상록구 본오동 966-14,"나이스빌A동,B동",본오동 966-14 공동주택,,3,2,15,2018-07-16
41271320123842,4127110400109660015,경기도 안산상록구 본오동 966-15,수진아트빌,,,3,1,7,2009-11-13
41271312169765,4127110400109660016,경기도 안산상록구 본오동 966-16,(966-16),,,3,1,11,1995-10-12
41271320428445,4127110400109660018,경기도 안산상록구 본오동 966-18,(966-18),,,3,1,8,2021-08-30
41271320431753,4127110400109670000,경기도 안산상록구 본오동 967,라온제나,라온제나,라온제나,3,1,8,2022-01-14
41271320401759,4127110400109670004,경기도 안산상록구 본오동 967-4,(967-4),,,3,1,8,2020-04-16
41271320080014,4127110400109670005,경기도 안산상록구 본오동 967-5,조안샤인빌,,,3,1,7,2007-11-23
41271312169766,4127110400109690002,경기도 안산상록구 본오동 969-2,태산리치빌라,태산리치빌라,태산리치빌라,3,1,10,2002-08-01
41271320134123,4127110400109690003,경기도 안산상록구 본오동 969-3,노블리안,노블리안,노블리안,3,1,8,2011-01-03
41271320412587,4127110400109690004,경기도 안산상록구 본오동 969-4,휴플러스,휴플러스,휴플러스,3,1,8,2020-09-28
41271312169767,4127110400109690005,경기도 안산상록구 본오동 969-5,신구빌라,신구빌라,신구빌라,3,1,8,2002-05-06
41271320383636,4127110400109690006,경기도 안산상록구 본오동 969-6,예진아트빌,예진아트빌,예진아트빌,3,1,8,2019-01-28
41271320182678,4127110400109690014,경기도 안산상록구 본오동 969-14,거림빌라,,,3,1,13,2013-09-09
41271320417838,4127110400109690015,경기도 안산상록구 본오동 969-15,해인하우스,해인하우스,해인하우스,3,1,7,2021-03-15
41271320317596,4127110400109690017,경기도 안산상록구 본오동 969-17,(969-17),,,3,1,6,2015-05-13
41271320448161,4127110400109700002,경기도 안산상록구 본오동 970-2,파크에비뉴,파크애비뉴,파크애비뉴,3,1,8,2023-10-25
41271320376202,4127110400109700004,경기도 안산상록구 본오동 970-4,리첸시아,,,3,1,8,2018-10-23
41271320428150,4127110400109700005,경기도 안산상록구 본오동 970-5,퍼스트빌,퍼스트빌,퍼스트빌,3,1,8,2021-08-20
41271320135742,4127110400109700006,경기도 안산상록구 본오동 970-6,양지아너스빌,양지아너스,양지아너스,3,1,8,2011-03-16
41271312169768,4127110400109700007,경기도 안산상록구 본오동 970-7,대아주택,,,3,1,8,2002-02-04
41271312169769,4127110400109700008,경기도 안산상록구 본오동 970-8,동산그랜드빌,동산그랜드빌,동산그랜드빌,3,1,10,2002-07-19
41271312169770,4127110400109700010,경기도 안산상록구 본오동 970-10,(970-10),,,3,1,11,1996-06-12
41271320361909,4127110400109700011,경기도 안산상록구 본오동 970-11,코아빌,코아빌,,3,1,8,2018-03-22
41271320442514,4127110400109710000,경기도 안산상록구 본오동 971,숲속정원빌,숲속정원빌,숲속정원빌,3,1,8,2023-02-09
41271320439622,4127110400109710001,경기도 안산상록구 본오동 971-1,루체,루체,루체,3,1,8,2022-09-29
41271320172353,4127110400109710004,경기도 안산상록구 본오동 971-4,로얄팰리스(971-4번지),로얄팰리스,로얄팰리스,3,1,8,2013-03-01
41271312169772,4127110400109720002,경기도 안산상록구 본오동 972-2,우드빌,,,3,1,8,2001-06-11
41271312169773,4127110400109720003,경기도 안산상록구 본오동 972-3,훼미리리츠빌,훼미리 리츠빌,훼미리 리츠빌,3,1,8,2001-11-20
41271320071680,4127110400109720004,경기도 안산상록구 본오동 972-4,은성빌(972-4),,,3,1,8,2007-08-23
41271312169774,4127110400109720005,경기도 안산상록구 본오동 972-5,상록3차,,,3,1,8,2002-05-13
41271312169775,4127110400109720007,경기도 안산상록구 본오동 972-7,(972-7),,,3,1,15,2001-08-13
41271312169776,4127110400109720008,경기도 안산상록구 본오동 972-8,대영아트빌,대영아트빌,대영아트빌,3,1,10,2002-09-11
41271312169777,4127110400109720009,경기도 안산상록구 본오동 972-9,패밀리아지트,패밀리아지트,패밀리아지트,3,1,8,2002-02-05
41271320131340,4127110400109720011,경기도 안산상록구 본오동 972-11,GS그린빌(972-11),,,3,1,7,2010-09-16
41271320285904,4127110400109720014,경기도 안산상록구 본오동 972-14,중앙하이츠빌(972-14),,,3,1,8,2014-02-25
41271320294994,4127110400109720015,경기도 안산상록구 본오동 972-15,YUJIHAUS(972-15),,,3,1,10,2014-07-14
41271320128090,4127110400109720016,경기도 안산상록구 본오동 972-16,영우아트빌,,,3,1,7,2010-05-18
41271320090275,4127110400109720018,경기도 안산상록구 본오동 972-18,세경빌,,,3,1,7,2008-02-20
41271312169778,4127110400109730000,경기도 안산상록구 본오동 973,드림빌라,,,3,1,8,2001-12-27
41271320449927,4127110400109730001,경기도 안산상록구 본오동 973-1,동랑포레B동,동랑포레,동랑포레,3,1,8,2024-02-26
41271320430744,4127110400109730002,경기도 안산상록구 본오동 973-2,(973-2),,,3,1,8,2021-12-10
41271312169780,4127110400109730004,경기도 안산상록구 본오동 973-4,그레이스빌,,,3,1,8,2003-11-28
41271312169781,4127110400109730005,경기도 안산상록구 본오동 973-5,(973-5),,,3,1,8,2002-03-22
41271312169782,4127110400109730006,경기도 안산상록구 본오동 973-6,우드타운,,,3,1,17,2002-08-06
41271312169783,4127110400109730007,경기도 안산상록구 본오동 973-7,태광맨션(973-7),태광맨션,태광맨션,3,1,10,2002-03-05
41271320410749,4127110400109730009,경기도 안산상록구 본오동 973-9,라인캐슬,,,3,1,8,2020-07-02
41271312169784,4127110400109730010,경기도 안산상록구 본오동 973-10,태광맨션(973-10),태광맨션,태광맨션,3,1,10,2002-03-05
41271312169785,4127110400109730011,경기도 안산상록구 본오동 973-11,(973-11),,,3,1,17,2004-01-12
41271312169786,4127110400109730012,경기도 안산상록구 본오동 973-12,(973-12),,,3,1,14,2003-04-22
41271320414657,4127110400109730014,경기도 안산상록구 본오동 973-14,(973-14),,,3,1,7,2020-11-25
41271312169787,4127110400109730015,경기도 안산상록구 본오동 973-15,(973-15),,,3,1,10,2004-08-24
41271320449928,4127110400109730016,경기도 안산상록구 본오동 973-16,동랑포레A동,동랑포레,동랑포레,3,1,4,2024-02-26
41271312169788,4127110400109730017,경기도 안산상록구 본오동 973-17,(973-17),,,3,1,8,2002-07-18
41271320313816,4127110400109730018,경기도 안산상록구 본오동 973-18,본오한아름,,,3,1,10,2015-03-31
41271320323875,4127110400109740000,경기도 안산상록구 본오동 974,경진아트빌가동,경진아트빌,경진아트빌,3,1,8,2015-08-27
41271312169789,4127110400109740001,경기도 안산상록구 본오동 974-1,청학빌라,,,3,1,8,2001-09-11
41271312169790,4127110400109740002,경기도 안산상록구 본오동 974-2,로뎀아트빌(974-2),로뎀아트빌,로뎀아트빌,3,1,10,2001-12-08
41271320160666,4127110400109740003,경기도 안산상록구 본오동 974-3,스카이드림빌,스카이드림빌,스카이드림빌,3,1,8,2012-06-20
41271320027462,4127110400109740004,경기도 안산상록구 본오동 974-4,한라하이츠빌라,한라하이츠빌라,한라하이츠빌라,3,1,8,2006-02-17
41271312169791,4127110400109740005,경기도 안산상록구 본오동 974-5,종남빌라2차A동,종남빌라2차 A동,종남빌라2차 A동,3,1,10,2003-05-14
41271312169792,4127110400109740006,경기도 안산상록구 본오동 974-6,상록2차,,,3,1,8,2002-05-01
41271320329083,4127110400109740008,경기도 안산상록구 본오동 974-8,서원아트빌(974-8),,,3,1,8,2015-11-26
